nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Tony Hawk's Downhill Jam,Wii,Sports,Activision,0.23,14-Nov-06,69.0,42.0,6.2,13.0,Toys for Bob
Digimon World Re:Digitize Decode,3DS,Role-Playing,Namco Bandai Games,0.08,,,,,,
Stoked: Big Air Edition,X360,Sports,Namco Bandai Games,0.03,23-Nov-09,72.0,21.0,8.1,14.0,Bongfish
Stacked with Daniel Negreanu,PSP,Misc,Myelin Media,0.03,6-Oct-06,63.0,13.0,tbd,,3G Studios
Crash Time: Autobahn Pusuit,X360,Racing,RTL,0.03,,,,,,
Next Hatsune Miku: Project Diva,PSV,Misc,Sega,0.23,,,,,,
Lego City Undercover,WiiU,Action,Nintendo,0.7,18-Mar-13,80.0,66.0,8,196.0,TT Games
Growlanser IV: Over Reloaded,PSP,Role-Playing,Atlus,0.06,,,,,,
SingStar Abba,PS3,Misc,Sony Computer Entertainment,0.88,2-Dec-08,70.0,26.0,5.5,4.0,SCEE London Studio
Winter Sports 3: The Great Tournament,Wii,Sports,Tradewest,0.04,,,,,,
Criminal Girls,PSV,Role-Playing,Nippon Ichi Software,0.03,,,,,,
Arcana Heart 3,PS3,Fighting,PQube,0.11,19-Apr-11,73.0,10.0,7.7,24.0,Examu
Farming Simulator 2013,X360,Action,Focus Home Interactive,0.18,19-Nov-13,33.0,12.0,5.7,23.0,Giants Software
Worms,PS3,Strategy,Sony Computer Entertainment,0.02,26-Mar-09,76.0,9.0,6.9,17.0,Team 17
Dai-2-Ji Super Robot Taisen Z: Hakai-hen,PSP,Strategy,Banpresto,0.42,,,,,,
Martian Panic,Wii,Adventure,Unknown,0.08,24-Aug-10,,,tbd,,N-Fusion Interactive Entertainment Corp.
Game Party in Motion,X360,Misc,Warner Bros. Interactive Entertainment,0.5,18-Nov-10,33.0,6.0,2.9,8.0,Farsight Studios
Family Feud: 2012 Edition,Wii,Misc,Ubisoft,0.16,18-Oct-11,,,tbd,,Ubisoft
Puss in Boots,Wii,Action,THQ,0.18,25-Oct-11,,,tbd,,
Grand Knights History,PSP,Adventure,Marvelous Interactive,0.13,Canceled,,,,,Vanillaware
Cars Mater-National Championship,Wii,Racing,THQ,0.49,12-Nov-07,,,6,5.0,Incinerator Games
Monster Jam: Urban Assault,Wii,Racing,Activision,0.39,28-Oct-08,,,7.8,5.0,Torus Games
Test Drive Unlimited 2,X360,Racing,Atari,0.65,8-Feb-11,68.0,61.0,6.5,80.0,Eden
Desert Kingdom Portable,PSP,Adventure,Idea Factory,0.01,,,,,,
Yuusha no Kuse ni Namaikida (PSP the Best sales),PSP,Role-Playing,Sony Computer Entertainment,0.01,,,,,,
Dead Space 2,X360,Shooter,Electronic Arts,1.41,25-Jan-11,90.0,83.0,8.6,574.0,Visceral Games
High School Musical: Sing It!,Wii,Misc,Disney Interactive Studios,1.76,,,,,,
Steins;Gate: Senkei Kousoku no Phonogram,PS3,Adventure,5pb,0.06,,,,,,
Big Brain Academy: Wii Degree,Wii,Misc,Nintendo,3.75,11-Jun-07,68.0,33.0,6.9,37.0,Nintendo
The Chronicles of Riddick: Assault on Dark Athena,X360,Shooter,Atari,0.27,7-Apr-09,82.0,67.0,8.1,54.0,Starbreeze
GT Pro Series,Wii,Racing,Ubisoft,0.52,14-Nov-06,41.0,15.0,4,21.0,MTO
Cars Toon: Mater's Tall Tales,Wii,Misc,Disney Interactive Studios,0.46,19-Oct-10,,,tbd,,Disney Interactive Studios
The BIGS,PSP,Sports,Take-Two Interactive,0.11,25-Jun-07,72.0,9.0,tbd,,Blue Castle Games
Prince of Persia: The Forgotten Sands,PS3,Action,Ubisoft,0.63,18-May-10,75.0,49.0,7.6,90.0,Ubisoft Montreal
Etrian Odyssey IV,3DS,Action,Atlus,0.27,,,,,,
Link's Crossbow Training,Wii,Shooter,Nintendo,4.94,19-Nov-07,68.0,34.0,7.4,37.0,Nintendo
Twisted Metal: Head On,PSP,Action,Sony Computer Entertainment,0.76,24-Mar-05,79.0,45.0,8.5,27.0,Incognito Inc.
Gal*Gun,X360,Shooter,Alchemist,0.04,,,,,,
Bolt,Wii,Adventure,Disney Interactive Studios,0.56,18-Nov-08,50.0,4.0,tbd,,Avalanche Software
Child of Eden,X360,Shooter,Ubisoft,0.39,14-Jun-11,84.0,81.0,7.6,81.0,Q Entertainment
Simple 2000 Series Wii Vol. 2: The Party Game,Wii,Misc,D3Publisher,0.01,,,,,,
Free Running,Wii,Sports,Reef Entertainment,0.03,28-Apr-10,,,tbd,,Rebellion
Love Once: Mermaid's Tears,PS3,Adventure,Unknown,0.02,,,,,,
L.A. Noire,PS3,Adventure,Take-Two Interactive,2.9,17-May-11,89.0,78.0,7.5,780.0,Team Bondi
Truth or Lies,X360,Misc,THQ,0.1,14-Sep-10,28.0,6.0,4.2,5.0,THQ
Disgaea: Afternoon of Darkness,PSP,Role-Playing,Tecmo Koei,0.21,30-Oct-07,87.0,37.0,7.9,51.0,Nippon Ichi Software
Dynasty Warriors Vol. 2 (JP sales),PSP,Action,Tecmo Koei,0.04,,,,,,
Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,Racing,Unknown,0.02,,,,,,
LEGO Batman 2: DC Super Heroes,PS3,Action,Warner Bros. Interactive Entertainment,0.94,19-Jun-12,81.0,28.0,7.2,56.0,Traveller's Tales
System 3 presents Ferrari Challenge Trofeo Pirelli,Wii,Racing,System 3 Arcade Software,0.53,,,,,,
James Bond 007: Legends,PS3,Shooter,Activision,0.24,,,,,,
Resident Evil Archives: Resident Evil,Wii,Action,Capcom,0.27,23-Jun-09,76.0,11.0,8.9,21.0,Capcom
Medal of Honor,PS3,Shooter,Electronic Arts,2.71,12-Oct-10,75.0,56.0,7.6,235.0,"Danger Close, EA DICE"
Sega Superstars Tennis,X360,Sports,Sega,2.87,18-Mar-08,67.0,45.0,6.4,13.0,Sumo Digital
Wet,X360,Shooter,Bethesda Softworks,0.47,15-Sep-09,69.0,79.0,7.4,71.0,Artificial Mind and Movement
Stormrise,PS3,Strategy,Sega,0.16,24-Mar-09,51.0,28.0,5.3,20.0,Creative Assembly
WipeOut 3 The Game,WiiU,Action,Activision,0.07,,,,,,
Hatsune Miku and Future Stars: Project Mirai,3DS,Misc,Sega,0.18,,,,,,
Rayman Origins,Wii,Platform,Ubisoft,0.49,15-Nov-11,92.0,13.0,8,96.0,UBlart Montpellier
Momotarou Dentetsu Tag Match: Yuujou - Doryoku - Shouri no Maki!,PSP,Misc,Hudson Soft,0.07,,,,,,
Dead or Alive Xtreme 2,X360,Sports,Tecmo Koei,0.23,13-Nov-06,53.0,46.0,6.1,35.0,Team Ninja
The Oregon Trail,Wii,Simulation,Crave Entertainment,0.14,,,,,,
Tom Clancy's EndWar,PSP,Strategy,Ubisoft,0.1,4-Nov-08,68.0,7.0,5.3,6.0,Funatics Software
Fight Night Round 3,X360,Fighting,Electronic Arts,1.43,20-Feb-06,86.0,67.0,8.9,252.0,EA Chicago
Folklore,PS3,Role-Playing,Sony Computer Entertainment,0.27,9-Oct-07,75.0,55.0,8.3,106.0,"Game Republic, JapanStudio"
NBA 09: The Inside,PSP,Sports,Sony Computer Entertainment,0.17,7-Oct-08,79.0,9.0,7,5.0,SCEA San Diego Studios
Sin and Punishment: Star Successor,Wii,Shooter,Nintendo,0.4,27-Jun-10,87.0,60.0,8.4,64.0,Treasure
Hakuoki: Reimeiroku Nagorigusa,PS3,Action,Idea Factory,0.01,,,,,,
CSI: Deadly Intent,Wii,Adventure,Ubisoft,0.27,27-Oct-09,,,tbd,,Telltale Games
Canvas 3: Nanairo no Kiseki,PSP,Adventure,GN Software,0.01,,,,,,
Jurassic Park: The Game,X360,Action,Unknown,0.13,15-Nov-11,60.0,9.0,3.3,130.0,Telltale Games
UEFA Champions League 2006-2007,PSP,Sports,Electronic Arts,0.01,20-Mar-07,71.0,14.0,tbd,,EA Canada
Ratchet & Clank: Quest for Booty,PS3,Platform,Sony Computer Entertainment,0.52,,,,,,
World Party Games,Wii,Misc,505 Games,0.07,27-Dec-09,,,tbd,,505 Games
Surf's Up,Wii,Sports,Ubisoft,0.17,30-May-07,64.0,9.0,tbd,,Ubisoft Montreal
Skylanders Giants,Wii,Action,Activision,2.33,21-Oct-12,78.0,8.0,7.1,12.0,Toys for Bob
Winning Eleven: Pro Evolution Soccer 2007,X360,Sports,Konami Digital Entertainment,0.1,6-Feb-07,79.0,22.0,6.4,32.0,KCET
Anpanman Niko Niko Party,Wii,Misc,Agatsuma Entertainment,0.01,,,,,,
Pursuit Force,PSP,Racing,Sony Computer Entertainment,0.16,7-Mar-06,75.0,59.0,7.7,21.0,Bigbig Studios
Project Sylpheed: Arc of Deception,X360,Shooter,Microsoft Game Studios,0.13,10-Jul-07,64.0,45.0,8.7,17.0,"Game Arts, Seta Corporation"
OutRun 2006: Coast 2 Coast,PSP,Racing,Sega,0.04,25-Apr-06,82.0,31.0,8.9,10.0,Sumo Digital
TrackMania: Build to Race,Wii,Racing,Focus Home Interactive,0.21,24-Mar-11,74.0,17.0,6.8,5.0,Firebrand Games
Hatsune Miku: Project Mirai 2,3DS,Action,Sega,0.17,,,,,,
Battle of Giants: Dinosaurs Strike,Wii,Strategy,Ubisoft,0.16,9-Nov-10,,,tbd,,Ubisoft Quebec
WWE SmackDown vs. RAW 2007,PSP,Fighting,THQ,0.64,6-Dec-06,78.0,13.0,8.6,17.0,Yuke's
Kinect Adventures!,X360,Misc,Microsoft Game Studios,20.92,4-Nov-10,61.0,45.0,6.2,82.0,Good Science Studio
WWE SmackDown vs. Raw 2011,Wii,Fighting,THQ,0.44,26-Oct-10,72.0,7.0,tbd,,Yuke's
Kung-Fu: High Impact,X360,Action,Black Bean Games,0.1,15-Nov-11,56.0,18.0,7.7,18.0,Virtual Air Guitar Company
PDC World Championship Darts: Pro Tour,X360,Sports,O-Games,0.01,,,,,,
Kamen Rider: Travelers Senki,3DS,Action,Seventh Chord,0.06,,,,,,
Professor Layton and the Mask of Miracle,3DS,Adventure,Nintendo,1.35,28-Oct-12,82.0,54.0,8.4,76.0,Level 5
AKB1/48: Idol to Guam de Koishitara...,X360,Misc,,0.01,,,,,,
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,Strategy,Namco Bandai Games,0.03,,,,,,
Corpse Party: Book of Shadows,PSP,Adventure,5pb,0.04,15-Jan-13,67.0,23.0,8.4,34.0,5pb
Prince of Persia: The Forgotten Sands,PSP,Action,Ubisoft,0.36,18-May-10,65.0,10.0,7.2,11.0,Ubisoft Quebec
Elebits,Wii,Action,Konami Digital Entertainment,0.32,12-Dec-06,75.0,46.0,7.4,31.0,Konami
Record of Agarest War Zero,PS3,Strategy,Ghostlight,0.11,14-Jun-11,50.0,8.0,7.1,30.0,Compile Heart
E.X. Troopers,PS3,Shooter,Capcom,0.05,,,,,,
Zoo Hospital,Wii,Simulation,Majesco Entertainment,0.16,22-Sep-08,61.0,4.0,tbd,,Torus Games
Cosmic Family,Wii,Misc,Ubisoft,0.07,18-Sep-07,54.0,6.0,5.7,6.0,Ubisoft Barcelona
Street Fighter X Tekken,PSV,Fighting,Capcom,0.12,23-Oct-12,79.0,25.0,7.3,52.0,Capcom
Guitar Hero III: Legends of Rock,X360,Misc,Activision,4.43,28-Oct-07,85.0,69.0,7.7,131.0,Neversoft Entertainment
Green Day: Rock Band,Wii,Misc,MTV Games,0.34,8-Jun-10,76.0,12.0,8.7,9.0,Harmonix Music Systems
SoulCalibur: Broken Destiny,PSP,Fighting,Namco Bandai Games,0.49,1-Sep-09,80.0,52.0,6.4,38.0,Bandai Namco Games
Babysitting Mama,Wii,Simulation,505 Games,0.48,5-Nov-10,,,tbd,,Cooking Mama Limited
Star Wars The Clone Wars: Republic Heroes,Wii,Action,LucasArts,0.74,6-Oct-09,48.0,10.0,6.6,5.0,Krome Studios
Jikkyou Powerful Pro Yakyuu Wii Ketteiban,Wii,Sports,Konami Digital Entertainment,0.03,,,,,,
Brutal Legend,X360,Action,Electronic Arts,0.93,13-Oct-09,82.0,88.0,8.1,232.0,Double Fine Productions
The Biggest Loser,Wii,Sports,THQ,1.05,6-Oct-09,74.0,5.0,8.1,32.0,Blitz Games
The Amazing Race,Wii,Misc,Ubisoft,0.12,2-Nov-10,,,tbd,,Ludia Inc.
Operation Flashpoint: Dragon Rising,PS3,Shooter,Codemasters,0.88,6-Oct-09,76.0,42.0,6.4,48.0,Codemasters
Ikki Tousen: Eloquent Fist,PSP,Fighting,Marvelous Interactive,0.02,,,,,,
Gold's Gym: Cardio Workout (Others sales),Wii,Sports,Ubisoft,0.3,,,,,,
Bullet Witch,X360,Shooter,Atari,0.09,27-Feb-07,55.0,59.0,6.2,32.0,Cavia Inc.
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Fuujirareta Megami Portable,PSP,Misc,Paon,0.02,,,,,,
Kung Fu Panda,Wii,Platform,Activision,0.9,3-Jun-08,70.0,20.0,6.8,4.0,Xpec
Legend of the Dragon,PSP,Fighting,Game Factory,0.03,29-May-07,38.0,12.0,tbd,,Neko Entertainment
Disney Sing It,Wii,Misc,Disney Interactive Studios,1.17,21-Oct-08,,,tbd,,Zoe Mode
Dark Sector,X360,Shooter,D3Publisher,0.47,25-Mar-08,72.0,71.0,7.5,136.0,Digital Extremes
Kurogane no Linebarrels,PSP,Role-Playing,Hudson Soft,0.01,,,,,,
Trine 2,WiiU,Platform,Atlus,0.01,,,,,,
Killzone 3,PS3,Shooter,Sony Computer Entertainment,2.58,22-Feb-11,84.0,85.0,7.9,767.0,Guerrilla
Lightning Returns: Final Fantasy XIII,X360,Role-Playing,Square Enix,0.01,11-Feb-14,69.0,16.0,7,56.0,Square Enix
Bass Pro Shops: The Hunt,X360,Sports,Griffin International,0.07,2-Jun-10,,,tbd,,Griffin International
SBK X: Superbike World Championship,PS3,Racing,Black Bean Games,0.19,7-Dec-10,73.0,5.0,tbd,,Milestone S.r.l
Legends of WrestleMania,X360,Fighting,THQ,0.37,24-Mar-09,71.0,59.0,6.1,21.0,Yuke's
LEGO Star Wars III: The Clone Wars,X360,Action,LucasArts,1.28,22-Mar-11,75.0,43.0,7.7,33.0,Traveller's Tales
Juiced 2: Hot Import Nights,PS3,Racing,THQ,0.23,22-Oct-07,71.0,10.0,6.4,5.0,Juice Games
Yu-Gi-Oh! GX: Tag Force 2,PSP,Strategy,Konami Digital Entertainment,0.4,,,,,,
Line Rider 2: Unbound,Wii,Puzzle,Deep Silver,0.02,7-Oct-08,62.0,12.0,6.4,5.0,InXile Entertainment
Professional Fisherman's Tour: Big Bass Open,3DS,Sports,Starfish,0.01,19-Jul-11,,,tbd,,
LEGO Harry Potter: Years 5-7,PSP,Action,Warner Bros. Interactive Entertainment,0.19,11-Nov-11,,,tbd,,Traveller's Tales
Pok̩mon Battle Revolution,Wii,Role-Playing,Nintendo,1.54,25-Jun-07,53.0,34.0,6.6,86.0,Genius Sonority Inc.
FIFA Soccer 11,PSP,Sports,Electronic Arts,1.16,28-Sep-10,68.0,6.0,5.7,7.0,EA Sports
Mafia II,PS3,Action,Take-Two Interactive,1.33,24-Aug-10,75.0,61.0,7.6,216.0,2K Czech
DoDonPachi Daifukkatsu: Black Label,X360,Shooter,Cave,0.01,,,,,,
Wii de Asobu Chibi-Robo!,Wii,Adventure,Nintendo,0.05,,,,,,
Disgaea D2,PS3,Action,Nippon Ichi Software,0.16,,,,,,
Gem Smashers,3DS,Platform,Crave Entertainment,0.04,8-Nov-11,,,tbd,,Frame Studios Interactive
G-Force,PSP,Action,Electronic Arts,0.34,21-Jul-09,,,tbd,,Keen Games
echochrome,PSP,Puzzle,Sony Computer Entertainment,0.09,1-May-08,79.0,28.0,8.4,7.0,"SCE Japan Studio, SCE/WWS"
The Darkness,PS3,Shooter,Take-Two Interactive,0.63,25-Jun-07,80.0,35.0,7.6,78.0,Starbreeze
Offshore Tycoon,Wii,Strategy,Unknown,0.01,31-Mar-09,,,tbd,,Cyber Planet
The Sims 3,Wii,Simulation,Electronic Arts,1.24,15-Nov-10,,,2.5,26.0,The Sims Studio
Tiger Woods PGA Tour 07,PS3,Sports,Electronic Arts,0.49,14-Nov-06,81.0,30.0,tbd,,EA Redwood Shores
Winning Post World 2010,PS3,Sports,Tecmo Koei,0.04,,,,,,
Barnyard,Wii,Action,THQ,0.04,4-Dec-06,65.0,15.0,5.7,7.0,Blue Tongue Entertainment
Final Fantasy XI: Vana'diel Collection 2008,X360,Role-Playing,Square Enix,0.15,20-Nov-07,,,tbd,,Square Enix
Little Battlers eXperience W,PSP,Action,Level 5,0.18,,,,,,
Guitar Hero: Van Halen,Wii,Misc,Activision,0.26,22-Dec-09,50.0,12.0,4.5,4.0,Neversoft Entertainment
Kamen Rider: Climax Heroes OOO,Wii,Fighting,Namco Bandai Games,0.15,,,,,,
Meiji Toukyou Renka,PSP,Adventure,Broccoli,0.02,,,,,,
Little League World Series Baseball 2010,X360,Sports,Activision,0.07,13-Jul-10,55.0,4.0,tbd,,Now Production
Vampire Rain: Altered Species,PS3,Action,Ignition Entertainment,0.05,2-Sep-08,30.0,15.0,3.7,31.0,Artoon
Queen's Gate: Spiral Chaos,PSP,Role-Playing,Namco Bandai Games,0.14,,,,,,
Pocket Pool,PSP,Action,Conspiracy Entertainment,0.04,18-Apr-07,37.0,19.0,tbd,,Conspiracy Entertainment
Super Street Fighter IV: Arcade Edition,X360,Fighting,Capcom,0.18,28-Jun-11,78.0,32.0,7,34.0,Capcom
CSI: Hard Evidence,X360,Adventure,Ubisoft,0.08,,,,,,
Persona 4: Arena,PS3,Fighting,Atlus,0.45,7-Aug-12,86.0,47.0,7.7,143.0,Arc System Works
Doko Demo Issho,PSP,Misc,Sony Computer Entertainment,0.1,,,,,,
Reel Fishing Paradise 3D,3DS,Sports,Marvelous Interactive,0.16,21-Jun-11,57.0,5.0,tbd,,Natsume
Sengoku Basara: Samurai Heroes,Wii,Action,Capcom,0.27,12-Oct-10,65.0,18.0,8.5,11.0,Capcom
Godzilla Unleashed,Wii,Fighting,Atari,0.15,5-Dec-07,44.0,31.0,6.9,28.0,"Pipeworks Software, Inc."
Scrabble,PSP,Misc,Electronic Arts,0.09,17-Mar-09,,,tbd,,Stainless Games
DuckTales: Remastered,X360,Action,Capcom,0.02,11-Sep-13,70.0,39.0,6.9,41.0,WayForward
My Word Coach,Wii,Misc,Ubisoft,0.49,6-Nov-07,68.0,8.0,tbd,,Ubisoft
My Fitness Coach: Club,PS3,Sports,Ubisoft,0.08,,,,,,
Captain Rainbow,Wii,Adventure,Nintendo,0.01,,,,,,
Death Jr.,PSP,Platform,Konami Digital Entertainment,0.19,16-Aug-05,61.0,40.0,7.2,20.0,Backbone Entertainment
Rapala for Kinect,X360,Sports,Activision,0.02,15-Nov-11,,,tbd,,Activision
How to Train Your Dragon,PS3,Action,Activision,0.14,23-Mar-10,51.0,18.0,tbd,,Etranges Libellules
Madden NFL 11,PS3,Sports,Electronic Arts,2.31,10-Aug-10,83.0,36.0,6,61.0,EA Tiburon
Football Manager Handheld 2010,PSP,Sports,Sega,0.35,22-Dec-09,69.0,10.0,9,4.0,Sports Interactive
Grand Theft Auto: Episodes from Liberty City,X360,Adventure,Take-Two Interactive,2.39,29-Oct-09,,,8.2,33.0,Rockstar North
Kidou Senshi Gundam Seed Battle Destiny,PSV,Action,Namco Bandai Games,0.12,,,,,,
Naruto: Powerful Shippuden,3DS,Platform,Namco Bandai Games,0.11,5-Mar-13,71.0,13.0,5.2,18.0,Inti
Lips: Party Classics,X360,Misc,Microsoft Game Studios,0.15,2-Mar-10,69.0,10.0,tbd,,iNiS
Phantasy Star Portable,PSP,Role-Playing,Sega,0.89,3-Mar-09,64.0,38.0,7.9,16.0,Alfa System
Hasbro Family Game Night 2,Wii,Misc,Electronic Arts,1.32,26-Oct-09,63.0,16.0,6.3,6.0,Electronic Arts
LEGO The Lord of the Rings,X360,Action,Warner Bros. Interactive Entertainment,1.02,13-Nov-12,80.0,49.0,8.5,57.0,TT Games
Taiko no Tatsujin Wii: Minna de Party * 3-Yome!,Wii,Misc,Namco Bandai Games,0.3,,,,,,
Kekkaishi: Kokubourou no Kage,Wii,Action,Namco Bandai Games,0.03,,,,,,
Getsuei Gakuen: kou,PSV,Adventure,Arc System Works,0.01,,,,,,
Madden NFL 09,PS3,Sports,Electronic Arts,1.85,12-Aug-08,85.0,38.0,4.5,128.0,EA Tiburon
Madden NFL 09,PSP,Sports,Electronic Arts,0.69,12-Aug-08,68.0,8.0,6.5,4.0,EA Tiburon
Valhalla Knights 2,PSP,Role-Playing,Rising Star Games,0.23,1-Oct-08,50.0,13.0,6.6,9.0,K2
Little Busters! Converted Edition,PSP,Adventure,Prototype,0.04,,,,,,
Ben 10: Protector of Earth,Wii,Action,D3Publisher,1.22,30-Oct-07,63.0,6.0,7.4,8.0,High Voltage Software
NBA Live 10,X360,Sports,Electronic Arts,0.43,6-Oct-09,80.0,40.0,7.7,32.0,EA Canada
X-Men: The Official Game,X360,Action,Activision,0.16,16-May-06,52.0,57.0,5.1,16.0,"Z-Axis, Ltd."
Memories Off: Yubikiri no Kikou,PSP,Adventure,5pb,0.02,,,,,,
Kyoukai Senjou no Horizon Portable,PSP,Adventure,Kadokawa Shoten,0.05,,,,,,
Hot Shots Golf: Open Tee,PSP,Sports,Sony Computer Entertainment,1.93,3-May-05,81.0,57.0,9.2,29.0,Clap Hanz
Resonance of Fate,X360,Role-Playing,Sega,0.31,16-Mar-10,74.0,43.0,7.5,78.0,Tri-Ace
Fatal Frame 2: Wii Edition,Wii,Action,Nintendo,0.1,,,,,,
Marvel Superheroes 3D: Grandmaster's Challenge,Wii,Action,Neko Entertainment,0.01,,,,,,
Test Drive Unlimited,PSP,Racing,Atari,0.48,21-Mar-07,80.0,18.0,7.3,27.0,Melbourne House
Raving Rabbids: Travel in Time,Wii,Adventure,Ubisoft,0.72,21-Nov-10,62.0,24.0,7.8,13.0,Ubisoft
New Class of Heroes Mono: Toki no Gakuen,PSP,Action,Acquire,0.09,,,,,,
Samurai Warriors 3,Wii,Action,Nintendo,0.42,28-Sep-10,55.0,26.0,7.1,18.0,Omega Force
FIFA Soccer 10,PS3,Sports,Electronic Arts,3.55,20-Oct-09,91.0,56.0,7.6,167.0,EA Sports
Dynasty Warriors Vol. 2,PSP,Action,Tecmo Koei,0.05,24-Oct-06,57.0,28.0,9.1,7.0,Omega Force
Little League World Series Baseball 2008,Wii,Sports,Activision,0.09,5-Aug-08,70.0,8.0,8,6.0,Now Production
Rise of the Argonauts,X360,Role-Playing,Codemasters,0.16,16-Dec-08,54.0,43.0,7.4,44.0,Liquid Entertainment
Warhammer: Battle March,X360,Strategy,Deep Silver,0.09,2-Sep-08,55.0,30.0,6.7,16.0,Black Hole Games
Tekken 6,PSP,Fighting,Namco Bandai Games,0.3,24-Nov-09,82.0,39.0,8.3,46.0,Namco Bandai Games America
Shaun White Snowboarding: Road Trip,Wii,Sports,Ubisoft,1.64,16-Nov-08,78.0,28.0,8.6,21.0,Ubisoft
Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita,PS3,Strategy,Nippon Ichi Software,0.03,,,,,,
Planetarium Creator Ohira Takayuki Kanshuu: HomeStar Portable - 21st Century Star Navigator,PSP,Misc,Sega,0.02,,,,,,
My Fitness Coach: Club,Wii,Sports,Ubisoft,0.04,,,,,,
MLB Superstars,Wii,Sports,Take-Two Interactive,0.08,10-Nov-08,,,tbd,,Deep Fried Entertainment
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,Action,,0.35,,,,,,
Crayola: Colorful Journey,Wii,Misc,Crave Entertainment,0.07,17-Mar-09,,,tbd,,StudioBlack Games
Star Trek: Tactical Assault,PSP,Strategy,Ubisoft,0.03,14-Nov-06,64.0,15.0,7.9,10.0,"Quicksilver Software, Inc"
Forza Motorsport 3,X360,Racing,Microsoft Game Studios,5.39,27-Oct-09,92.0,90.0,7.9,436.0,Turn 10
Rayman Raving Rabbids: TV Party,Wii,Misc,Ubisoft,1.99,18-Nov-08,73.0,24.0,7.5,20.0,"Ubisoft Paris, Ubisoft Montpellier"
Namco Museum Battle Collection (JP sales),PSP,Misc,Sony Computer Entertainment,0.02,,,,,,
Okami,Wii,Adventure,Capcom,0.55,15-Apr-08,90.0,44.0,8.9,190.0,Ready at Dawn
NCAA Football 10,PS3,Sports,Electronic Arts,0.8,14-Jul-09,80.0,20.0,6.9,14.0,EA Tiburon
The King of Fighters XII,X360,Fighting,Ignition Entertainment,0.1,24-Jul-09,63.0,57.0,4,30.0,SNK Playmore
SPRay,Wii,Action,Tecmo Koei,0.04,3-Dec-08,42.0,16.0,5.4,5.0,EKO Software
Patapon,PSP,Platform,Sony Computer Entertainment,0.77,26-Feb-08,86.0,60.0,8.7,80.0,SCE Japan Studio
Pro Evolution Soccer 2013,Wii,Sports,Konami Digital Entertainment,0.07,6-Nov-12,,,tbd,,Konami
Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,PSP,Misc,Unknown,0.03,,,,,,
Build-A-Bear Workshop: Friendship Valley,Wii,Misc,Unknown,0.06,23-Mar-10,,,tbd,,Neko Entertainment
Call of Juarez: The Cartel,PS3,Shooter,Ubisoft,0.23,19-Jul-11,45.0,42.0,5.7,69.0,Techland
Sly Cooper: Thieves in Time,PSV,Platform,Sony Computer Entertainment Europe,0.12,5-Feb-13,75.0,15.0,8.5,86.0,Sanzaru Games
Dance Dance Revolution: Hottest Party 3,Wii,Simulation,Konami Digital Entertainment,0.43,27-Oct-09,66.0,5.0,8.2,5.0,Konami
NBA 2K12,Wii,Sports,Take-Two Interactive,0.32,4-Oct-11,,,6.8,6.0,Visual Concepts
Friend Collection: New Life,3DS,Misc,Nintendo,1.65,,,,,,
Fighter Within,XOne,Action,Ubisoft,0.03,19-Nov-13,23.0,39.0,3.2,146.0,Ubisoft
Final Fantasy XI: All-In-One Pack 2006,X360,Role-Playing,Square Enix,0.02,,,,,,
Tales of Graces,Wii,Role-Playing,Namco Bandai Games,0.22,,,,,,
Deadpool,PS3,Action,Activision,0.22,25-Jun-13,61.0,27.0,7.1,174.0,High Moon Studios
101-in-1 Sports Party Megamix,Wii,Sports,Nordcurrent,0.03,13-Jan-11,41.0,7.0,tbd,,Nordcurrent
Backyard NFL Football '09,Wii,Sports,Atari,0.21,,,,,,
The Idolmaster: Gravure For You! Vol. 4,PS3,Misc,Namco Bandai Games,0.03,,,,,,
FlatOut: Head On,PSP,Racing,Empire Interactive,0.29,4-Apr-08,74.0,28.0,8.7,15.0,Bugbear
Halo 3: ODST,X360,Shooter,Microsoft Game Studios,6.22,22-Sep-09,83.0,94.0,7.1,944.0,Bungie Software
Eat Lead: The Return of Matt Hazard,X360,Shooter,D3Publisher,0.12,26-Feb-09,53.0,53.0,7.1,24.0,Vicious Cycle
One Piece: Unlimited Adventure,Wii,Adventure,Namco Bandai Games,0.19,22-Jan-08,67.0,17.0,9.2,19.0,Ganbarion
Superstars V8 Racing,X360,Racing,Black Bean Games,0.01,TBA,62.0,16.0,,,Milestone S.r.l
MySims,Wii,Simulation,Electronic Arts,1.61,18-Sep-07,68.0,38.0,7.1,52.0,EA Redwood Shores
Ace Combat: Assault Horizon Legacy,3DS,Simulation,Namco Bandai Games,0.15,15-Nov-11,71.0,37.0,8.2,23.0,Project Aces
Atelier Rorona: Alchemist of Arland,PS3,Role-Playing,Nippon Ichi Software,0.35,,,,,,
North American Hunting Extravaganza 2,Wii,Sports,Unknown,0.04,,,,,,
Tiger Woods PGA Tour 11,PS3,Sports,Electronic Arts,0.79,8-Jun-10,78.0,40.0,6.6,16.0,EA Sports
